 

stn;time;fhh010mx
BAS;200402;10.8
BAS;200403;9.8
BAS;200404;8.7
BAS;200405;7.9
BAS;200406;7.9
BAS;200407;7.6
BAS;200408;8.4
BAS;200409;8.4
BAS;200410;5.0
BAS;200411;11.4
BAS;200412;12.8
BAS;200501;10.3
BAS;200502;12.5
BAS;200503;8.2
BAS;200504;7.3
BAS;200505;7.8
BAS;200506;6.8
BAS;200507;7.2
BAS;200508;6.4
BAS;200509;6.4
BAS;200510;5.3
BAS;200511;5.6
BAS;200512;10.7
BAS;200601;8.3
BAS;200602;8.8
BAS;200603;10.4
BAS;200604;8.0
BAS;200605;9.9
BAS;200606;7.5
BAS;200607;8.1
BAS;200608;7.7
BAS;200609;5.9
BAS;200610;10.5
BAS;200611;6.5
BAS;200612;8.8
BAS;200701;12.8
BAS;200702;10.1
BAS;200703;11.5
BAS;200704;5.8
BAS;200705;7.9
BAS;200706;9.0
BAS;200707;7.4
BAS;200708;8.1
BAS;200709;6.3
BAS;200710;5.9
BAS;200711;9.8
BAS;200712;11.3
BAS;200801;9.1
BAS;200802;9.0
BAS;200803;12.5
BAS;200804;7.9
BAS;200805;-
BAS;200806;-
BAS;200807;7.3
BAS;200808;8.4
BAS;200809;7.1
BAS;200810;7.9
BAS;200811;10.8
BAS;200812;7.0
BAS;200901;11.7
BAS;200902;13.7
BAS;200903;9.3
BAS;200904;7.0
BAS;200905;6.5
BAS;200906;8.0
BAS;200907;6.7
BAS;200908;6.0
BAS;200909;7.1
BAS;200910;7.0
BAS;200911;8.5
BAS;200912;9.0
BAS;201001;6.4
BAS;201002;11.0
BAS;201003;7.4
BAS;201004;5.2
BAS;201005;5.5
BAS;201006;3.8
BAS;201007;5.0
BAS;201008;6.1
BAS;201009;5.2
BAS;201010;5.3
BAS;201011;9.3
BAS;201012;7.4
BAS;201101;6.1
BAS;201102;4.2
BAS;201103;7.1
BAS;201104;4.7
BAS;201105;4.9
BAS;201106;5.2
BAS;201107;5.8
BAS;201108;8.1
BAS;201109;6.5
BAS;201110;4.9
BAS;201111;4.4
BAS;201112;13.1
BAS;201201;12.2
BAS;201202;6.9
BAS;201203;6.1
BAS;201204;8.7
BAS;201205;5.6
BAS;201206;4.6
BAS;201207;6.6
BAS;201208;5.0
BAS;201209;5.9
BAS;201210;6.3
BAS;201211;8.6
BAS;201212;8.4
BAS;201301;7.6
BAS;201302;8.3
BAS;201303;5.4
BAS;201304;7.3
BAS;201305;5.9
BAS;201306;6.6
BAS;201307;4.6
BAS;201308;4.0
BAS;201309;7.0
BAS;201310;6.9
BAS;201311;7.7
BAS;201312;6.4
BAS;201401;6.7
BAS;201402;10.5
BAS;201403;6.4
BAS;201404;6.0
BAS;201405;6.7
BAS;201406;6.1
BAS;201407;5.3
BAS;201408;8.7
BAS;201409;3.8
BAS;201410;8.3
BAS;201411;5.2
BAS;201412;7.8
BAS;201501;8.4
BAS;201502;7.7
BAS;201503;9.7
BAS;201504;7.5
BAS;201505;5.1
BAS;201506;5.2
BAS;201507;8.0
BAS;201508;7.5
BAS;201509;5.8
BAS;201510;5.2
BAS;201511;10.7
BAS;201512;8.4
BAS;201601;8.9
BAS;201602;12.3
BAS;201603;-
BAS;201604;6.8
BAS;201605;6.5
BAS;201606;4.9
BAS;201607;4.8
BAS;201608;-
BAS;201609;5.4
BAS;201610;-
BAS;201611;8.5
BAS;201612;5.0
BAS;201701;9.4
BAS;201702;10.6
BAS;201703;9.2
BAS;201704;5.5
BAS;201705;5.1
BAS;201706;5.6
BAS;201707;6.1
BAS;201708;5.0
BAS;201709;7.4
BAS;201710;-
BAS;201711;9.9
BAS;201712;10.8
BAS;201801;13.3
BAS;201802;7.5
BAS;201803;6.4
BAS;201804;9.8
BAS;201805;6.1
BAS;201806;5.6
BAS;201807;5.3
BAS;201808;6.1
BAS;201809;7.8
BAS;201810;5.2
BAS;201811;6.0
BAS;201812;9.2
BAS;201901;8.1
BAS;201902;12.9
BAS;201903;11.5
BAS;201904;5.3
BAS;201905;8.6
BAS;201906;6.9
BAS;201907;6.8
BAS;201908;5.3
BAS;201909;5.5
BAS;201910;5.6
BAS;201911;6.4
BAS;201912;8.5
BAS;202001;9.3
BAS;202002;12.1
BAS;202003;8.6
BAS;202004;5.6
BAS;202005;4.8
BAS;202006;7.7
BAS;202007;5.3
BAS;202008;6.0
BAS;202009;6.6
BAS;202010;10.0
BAS;202011;6.9
BAS;202012;11.7
BAS;202101;9.1
BAS;202102;8.6
BAS;202103;9.6
BAS;202104;5.9
BAS;202105;8.5
BAS;202106;5.1
BAS;202107;5.3
BAS;202108;5.8
BAS;202109;4.5
BAS;202110;9.2
BAS;202111;4.9
BAS;202112;7.6
BAS;202201;8.5
BAS;202202;10.8
BAS;202203;5.8
BAS;202204;12.9
BAS;202205;5.6
BAS;202206;5.3
BAS;202207;5.2
BAS;202208;4.7
BAS;202209;4.9
BAS;202210;11.0
BAS;202211;5.4
BAS;202212;8.1
BAS;202301;9.4

stn;time;fhh010mx
BER;200402;11.1
BER;200403;7.9
BER;200404;9.0
BER;200405;8.9
BER;200406;7.1
BER;200407;7.9
BER;200408;6.6
BER;200409;14.4
BER;200410;6.7
BER;200411;9.3
BER;200412;9.7
BER;200501;9.8
BER;200502;10.0
BER;200503;9.2
BER;200504;7.0
BER;200505;7.5
BER;200506;6.5
BER;200507;6.9
BER;200508;5.6
BER;200509;6.1
BER;200510;5.2
BER;200511;6.7
BER;200512;7.4
BER;200601;5.6
BER;200602;7.9
BER;200603;10.0
BER;200604;6.6
BER;200605;9.3
BER;200606;6.3
BER;200607;6.2
BER;200608;-
BER;200609;5.6
BER;200610;8.6
BER;200611;4.9
BER;200612;6.9
BER;200701;9.5
BER;200702;8.9
BER;200703;9.0
BER;200704;5.3
BER;200705;6.6
BER;200706;8.6
BER;200707;6.4
BER;200708;5.0
BER;200709;6.1
BER;200710;7.1
BER;200711;7.1
BER;200712;8.4
BER;200801;6.8
BER;200802;6.5
BER;200803;10.3
BER;200804;6.8
BER;200805;6.3
BER;200806;6.4
BER;200807;6.1
BER;200808;6.3
BER;200809;6.3
BER;200810;6.7
BER;200811;8.6
BER;200812;8.2
BER;200901;-
BER;200902;13.2
BER;200903;8.4
BER;200904;6.0
BER;200905;6.8
BER;200906;7.9
BER;200907;5.1
BER;200908;4.5
BER;200909;6.5
BER;200910;5.8
BER;200911;7.1
BER;200912;6.1
BER;201001;6.1
BER;201002;10.6
BER;201003;7.7
BER;201004;6.4
BER;201005;6.3
BER;201006;6.7
BER;201007;7.9
BER;201008;7.7
BER;201009;7.0
BER;201010;5.3
BER;201011;6.4
BER;201012;9.2
BER;201101;4.7
BER;201102;5.4
BER;201103;7.3
BER;201104;6.6
BER;201105;6.9
BER;201106;6.3
BER;201107;5.5
BER;201108;7.8
BER;201109;5.5
BER;201110;6.8
BER;201111;4.5
BER;201112;9.4
BER;201201;9.9
BER;201202;6.5
BER;201203;5.9
BER;201204;8.6
BER;201205;7.3
BER;201206;5.4
BER;201207;7.1
BER;201208;6.4
BER;201209;7.8
BER;201210;5.6
BER;201211;6.1
BER;201212;7.2
BER;201301;6.6
