stn;time;tnd30xy0;tre200yx;tre200yn;tre200y0;rre150y0;hto000y0;tnd20ny0;fu3010y0;w1pnd0y0;w2pnd2y0
BAS;1980;3;32.3;-11;8.9;706.6;0;0;7.6;-;28
BAS;1981;2;30.9;-10.8;9.6;972.4;0;0;7.9;-;44
BAS;1982;7;32;-7.3;10.3;958.7;0;0;7.9;-;14
BAS;1983;15;38.4;-8.5;10.3;728;0;2;8.3;-;22
BAS;1984;7;34.8;-6.9;9.5;721.4;0;0;8.3;-;33
BAS;1985;5;35.5;-20.6;9;618.8;1;0;9.7;-;50
BAS;1986;9;35.5;-15.8;9.4;878.9;2;0;10.1;-;44
BAS;1987;5;31.3;-23.3;9.5;907.7;0;0;9.4;-;29
BAS;1988;3;33.5;-9.4;10.5;832.2;0;0;10.1;-;24
BAS;1989;9;34.5;-8.5;10.6;655.8;0;0;9.4;-;2
BAS;1990;13;34.3;-6.2;10.9;814.5;0;0;9.7;-;10
BAS;1991;10;32.8;-13.7;10;758.7;0;0;9.4;-;16
BAS;1992;16;34.3;-9.2;10.7;824.3;0;1;9;-;10
BAS;1993;6;32.9;-12;10.2;779.8;0;0;9.7;-;19
BAS;1994;20;34.3;-7.6;11.5;848.5;0;0;9.4;-;11
BAS;1995;10;33.8;-10;10.5;1014.3;0;1;9.4;-;30
BAS;1996;4;31.9;-15;9.4;833;0;0;8.6;-;33
BAS;1997;7;31;-12.2;10.7;752.7;0;0;8.3;-;11
BAS;1998;15;35.3;-8.8;10.8;806.6;0;2;8.6;-;18
BAS;1999;4;32.2;-14.2;10.9;1151;0;1;9.4;-;33
BAS;2000;9;33;-10.6;11.8;786.7;0;0;9;-;13
BAS;2001;9;33.6;-13;10.7;1011.7;0;0;8.6;-;21
BAS;2002;8;34.5;-10;11.2;1048.3;0;0;8.3;-;6
BAS;2003;41;38.6;-11.2;11.4;614.6;0;7;7.6;-;23
BAS;2004;13;32;-10.7;10.6;791.9;0;1;7.9;-;30
BAS;2005;18;34.6;-14.7;10.4;706;0;1;7.9;143;33
BAS;2006;22;35.2;-8.6;10.9;1028.5;1;3;8.3;170;21
BAS;2007;4;33.6;-8.5;11.3;952;0;0;8.6;159;11
BAS;2008;6;32.5;-6.7;10.8;869.6;0;0;8.3;182;19
BAS;2009;12;34.6;-16;11.1;765;0;0;8.3;-;-
BAS;2010;16;35.7;-11.3;9.9;835.2;1;0;6.1;-;-
BAS;2011;12;35.1;-7.9;11.6;687.9;0;2;6.1;-;-
BAS;2012;12;34.4;-19.3;10.9;1047.9;1;2;6.8;-;-
BAS;2013;13;37.3;-11.1;10.3;907.7;1;2;6.5;-;-
BAS;2014;8;35.5;-13.4;11.9;868.5;0;0;6.8;-;9
